headerdatestamp|headeridentifier|headersetSpec|metadata.mods.accessCondition#text|metadata.mods.accessCondition@type|metadata.mods.accessCondition@xlink:href|metadata.mods.identifier#text|metadata.mods.identifier@type|metadata.mods.language.languageTerm#text|metadata.mods.language.languageTerm@authority|metadata.mods.language.languageTerm@type|metadata.mods.location.url.0#text|metadata.mods.location.url.0@access|metadata.mods.location.url.0@usage|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.locationphysicalLocation|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@authority|metadata.mods.name.role.roleTerm@type|metadata.mods.name.role.roleTerm@valueURI|metadata.mods.name@authority|metadata.mods.name@valueURI|metadata.mods.namenamePart|metadata.mods.note.0|metadata.mods.note.1|metadata.mods.note.2#text|metadata.mods.note.2@displayLabel|metadata.mods.originInfo.dateCreated.0|metadata.mods.originInfo.dateCreated.1#text|metadata.mods.originInfo.dateCreated.1@encoding|metadata.mods.originInfo.dateCreated.1@keyDate|metadata.mods.originInfo.place.placeTerm#text|metadata.mods.originInfo.place.placeTerm@type|metadata.mods.originInfo.place@supplied|metadata.mods.originInfopublisher|metadata.mods.physicalDescription.form#text|metadata.mods.physicalDescription.form@authority|metadata.mods.physicalDescription.form@valueURI|metadata.mods.physicalDescriptiondigitalOrigin|metadata.mods.physicalDescriptionextent|metadata.mods.recordInfo.languageOfCataloging.languageTerm#text|metadata.mods.recordInfo.languageOfCataloging.languageTerm@authority|metadata.mods.recordInfo.languageOfCataloging.languageTerm@type|metadata.mods.recordInforecordContentSource|metadata.mods.recordInforecordIdentifier|metadata.mods.recordInforecordOrigin|metadata.mods.relatedItem.0.titleInfononSort|metadata.mods.relatedItem.0.titleInfotitle|metadata.mods.relatedItem.0@displayLabel|metadata.mods.relatedItem.0@type|metadata.mods.relatedItem.1.part.detail.0@type|metadata.mods.relatedItem.1.part.detail.0number|metadata.mods.relatedItem.1.part.detail.1@type|metadata.mods.relatedItem.1.part.detail.1number|metadata.mods.relatedItem.1.titleInfotitle|metadata.mods.relatedItem.1@type|metadata.mods.subject.0@authority|metadata.mods.subject.0topic|metadata.mods.subject.1.cartographicscoordinates|metadata.mods.subject.1.geographic#text|metadata.mods.subject.1.geographic@authority|metadata.mods.subject.1.geographic@valueURI|metadata.mods.titleInfononSort|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xs|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modstypeOfResource
2019-05-23T02:00:17Z|alumnus_1507296403|alumnus|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|alum_1975summer|local|eng|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507296403|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507296403/datastream/TN/view|preview|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|naf|http://id.loc.gov/authorities/names/n85212742|University of Tennessee (System). National Alumni Association.|Issued for The University of Tennessee National Alumni Association.|Issue numbering varies.|This object was added to the Digital Preservation Network in November 2017.|dpn|1975|1975|edtf|yes|Knoxville (Tenn.)|text|yes|University of Tennessee (System). National Alumni Association|periodicals|aat|http://vocab.getty.edu/aat/300026657|reformatted digital|1 magazine|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_alum_1975summer|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The|Tennessee Alumnus|Project|host|volume|Volume 55|issue|Issue 3|Tennessee Alumnus|series|lcsh|University of Tennessee (Knoxville campus)--Alumni and alumnae--Periodicals|35.96064N, 83.92074W|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|The|Tennessee Alumnus. Volume 55, Issue 3, 1975 Summer|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|text
2019-05-23T02:00:17Z|alumnus_1507302100|alumnus|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|alum_2005summer|local|eng|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507302100|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507302100/datastream/TN/view|preview|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|naf|http://id.loc.gov/authorities/names/n85212742|University of Tennessee (System). National Alumni Association.|Issued for The University of Tennessee National Alumni Association.|Issue numbering varies.|This object was added to the Digital Preservation Network in November 2017.|dpn|2005 Summer|2005-22|edtf|yes|Knoxville (Tenn.)|text|yes|University of Tennessee (System). National Alumni Association|periodicals|aat|http://vocab.getty.edu/aat/300026657|reformatted digital|1 magazine|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_alum_2005summer|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The|Tennessee Alumnus|Project|host|volume|Volume 85|issue|Issue 3|Tennessee Alumnus|series|lcsh|University of Tennessee (Knoxville campus)--Alumni and alumnae--Periodicals|35.96064N, 83.92074W|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|The|Tennessee Alumnus. Volume 85, Issue 3, 2005 Summer|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|text
2019-05-23T02:00:17Z|alumnus_1507303736|alumnus|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|alum_1930april|local|eng|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507303736|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507303736/datastream/TN/view|preview|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|naf|http://id.loc.gov/authorities/names/n85212742|University of Tennessee (System). National Alumni Association.|Issued for The University of Tennessee National Alumni Association.|Issue numbering varies.|This object was added to the Digital Preservation Network in November 2017.|dpn|1930|1930|edtf|yes|Knoxville (Tenn.)|text|yes|University of Tennessee (System). National Alumni Association|periodicals|aat|http://vocab.getty.edu/aat/300026657|reformatted digital|1 magazine|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_alum_1930april|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The|Tennessee Alumnus|Project|host|volume|Volume 13|issue|Issue 6|Tennessee Alumnus|series|lcsh|University of Tennessee (Knoxville campus)--Alumni and alumnae--Periodicals|35.96064N, 83.92074W|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|The|Tennessee Alumnus. Volume 13, Issue 6, 1930 April|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|text
2019-05-23T02:00:17Z|alumnus_1507291562|alumnus|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|alum_1941november|local|eng|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507291562|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507291562/datastream/TN/view|preview|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|naf|http://id.loc.gov/authorities/names/n85212742|University of Tennessee (System). National Alumni Association.|Issued for The University of Tennessee National Alumni Association.|Issue numbering varies.|This object was added to the Digital Preservation Network in November 2017.|dpn|1941|1941|edtf|yes|Knoxville (Tenn.)|text|yes|University of Tennessee (System). National Alumni Association|periodicals|aat|http://vocab.getty.edu/aat/300026657|reformatted digital|1 magazine|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_alum_1941november|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The|Tennessee Alumnus|Project|host|volume|Volume 22|issue|Issue 1|Tennessee Alumnus|series|lcsh|University of Tennessee (Knoxville campus)--Alumni and alumnae--Periodicals|35.96064N, 83.92074W|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|The|Tennessee Alumnus. Volume 22, Issue 1, 1941 November|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|text
2019-05-23T02:00:17Z|alumnus_1507302761|alumnus|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|alum_2008fall|local|eng|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507302761|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507302761/datastream/TN/view|preview|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|naf|http://id.loc.gov/authorities/names/n85212742|University of Tennessee (System). National Alumni Association.|Issued for The University of Tennessee National Alumni Association.|Issue numbering varies.|This object was added to the Digital Preservation Network in November 2017.|dpn|2008 Autumn|2008-23|edtf|yes|Knoxville (Tenn.)|text|yes|University of Tennessee (System). National Alumni Association|periodicals|aat|http://vocab.getty.edu/aat/300026657|reformatted digital|1 magazine|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_alum_2008fall|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The|Tennessee Alumnus|Project|host|volume|Volume 88|issue|Issue 4|Tennessee Alumnus|series|lcsh|University of Tennessee (Knoxville campus)--Alumni and alumnae--Periodicals|35.96064N, 83.92074W|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|The|Tennessee Alumnus. Volume 88, Issue 4, 2008 Autumn|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|text
2019-05-23T02:00:17Z|alumnus_1507291353|alumnus|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|alum_1929july|local|eng|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507291353|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507291353/datastream/TN/view|preview|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|naf|http://id.loc.gov/authorities/names/n85212742|University of Tennessee (System). National Alumni Association.|Issued for The University of Tennessee National Alumni Association.|Issue numbering varies.|This object was added to the Digital Preservation Network in November 2017.|dpn|7/1/1929|1929-07-01|edtf|yes|Knoxville (Tenn.)|text|yes|University of Tennessee (System). National Alumni Association|periodicals|aat|http://vocab.getty.edu/aat/300026657|reformatted digital|1 magazine|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_alum_1929july|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The|Tennessee Alumnus|Project|host|volume|Volume 13|issue|Issue 4|Tennessee Alumnus|series|lcsh|University of Tennessee (Knoxville campus)--Alumni and alumnae--Periodicals|35.96064N, 83.92074W|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|The|Tennessee Alumnus. Volume 13, Issue 4, 1929 July|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|text
2019-05-23T02:00:17Z|alumnus_1507300689|alumnus|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|alum_1999winter|local|eng|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507300689|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507300689/datastream/TN/view|preview|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|naf|http://id.loc.gov/authorities/names/n85212742|University of Tennessee (System). National Alumni Association.|Issued for The University of Tennessee National Alumni Association.|Issue numbering varies.|This object was added to the Digital Preservation Network in November 2017.|dpn|1999|1999|edtf|yes|Knoxville (Tenn.)|text|yes|University of Tennessee (System). National Alumni Association|periodicals|aat|http://vocab.getty.edu/aat/300026657|reformatted digital|1 magazine|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_alum_1999winter|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The|Tennessee Alumnus|Project|host|volume|Volume 79|issue|Issue 1|Tennessee Alumnus|series|lcsh|University of Tennessee (Knoxville campus)--Alumni and alumnae--Periodicals|35.96064N, 83.92074W|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|The|Tennessee Alumnus. Volume 79, Issue 1, 1999 Winter|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|text
2019-05-23T02:00:17Z|alumnus_1507291754|alumnus|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|alum_1943october|local|eng|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507291754|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507291754/datastream/TN/view|preview|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|naf|http://id.loc.gov/authorities/names/n85212742|University of Tennessee (System). National Alumni Association.|Issued for The University of Tennessee National Alumni Association.|Issue numbering varies.|This object was added to the Digital Preservation Network in November 2017.|dpn|1943|1943|edtf|yes|Knoxville (Tenn.)|text|yes|University of Tennessee (System). National Alumni Association|periodicals|aat|http://vocab.getty.edu/aat/300026657|reformatted digital|1 magazine|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_alum_1943october|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The|Tennessee Alumnus|Project|host|volume|Volume 24|issue|Issue 1|Tennessee Alumnus|series|lcsh|University of Tennessee (Knoxville campus)--Alumni and alumnae--Periodicals|35.96064N, 83.92074W|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|The|Tennessee Alumnus. Volume 24, Issue 1, 1943 October|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|text
2019-05-23T02:00:17Z|alumnus_1507304214|alumnus|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|alum_1938march|local|eng|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507304214|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507304214/datastream/TN/view|preview|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|naf|http://id.loc.gov/authorities/names/n85212742|University of Tennessee (System). National Alumni Association.|Issued for The University of Tennessee National Alumni Association.|Issue numbering varies.|This object was added to the Digital Preservation Network in November 2017.|dpn|1938|1938|edtf|yes|Knoxville (Tenn.)|text|yes|University of Tennessee (System). National Alumni Association|periodicals|aat|http://vocab.getty.edu/aat/300026657|reformatted digital|1 magazine|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_alum_1938march|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The|Tennessee Alumnus|Project|host|volume|Volume 18|issue|Issue 1|Tennessee Alumnus|series|lcsh|University of Tennessee (Knoxville campus)--Alumni and alumnae--Periodicals|35.96064N, 83.92074W|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|The|Tennessee Alumnus. Volume 18, Issue 1, 1938 March|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|text
2019-05-23T02:00:17Z|alumnus_1507290486|alumnus|No Copyright - United States|use and reproduction|http://rightsstatements.org/vocab/NoC-US/1.0/|alum_1921july|local|eng|iso639-2b|code|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507290486|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/alumnus%3A1507290486/datastream/TN/view|preview|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|naf|http://id.loc.gov/authorities/names/n85212742|University of Tennessee (System). National Alumni Association.|Issued for The University of Tennessee National Alumni Association.|Issue numbering varies.|This object was added to the Digital Preservation Network in November 2017.|dpn|7/1/1921|1921-07-01|edtf|yes|Knoxville (Tenn.)|text|yes|University of Tennessee (System). National Alumni Association|periodicals|aat|http://vocab.getty.edu/aat/300026657|reformatted digital|1 magazine|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_alum_1921july|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The|Tennessee Alumnus|Project|host|volume|Volume 5|issue|Issue 3|Tennessee Alumnus|series|lcsh|University of Tennessee (Knoxville campus)--Alumni and alumnae--Periodicals|35.96064N, 83.92074W|Knoxville (Tenn.)|naf|http://id.loc.gov/authorities/names/n79109786|The|Tennessee Alumnus. Volume 5, Issue 3, 1921 July|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|text
